36-ags-law.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-AGS.pdf	AGS Law
37-believe-first-llc.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-Believe-First.pdf	Believe First LLC
38-blue-bee-bankruptcy.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-Blue-Bee_.pdf	Blue Bee Bankruptcy
39-d4u-immigration.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-D4U.pdf	D4U Immigration
40-esquire-law.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Esquire-Law-Signed.pdf	Esquire Law
41-estate-guru.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/10/Sandbox-Termination-Order-Estate-Guru.pdf	Estate Guru
42-fair-credit.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Fair-Credit-Signed.pdf	Fair Credit
43-focl-law.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/FOCL-Termination-Order.pdf	FOCL Law
44-govassist-legal.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-GovAssist-Legal.pdf	GovAssist Legal
45-hello-divorce.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Hello-Divorce-Signed.pdf	Hello Divorce
46-holy-cross-ministries.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/07/Sandbox-Termination-Order-Holy-Cross-Ministries.pdf	Holy Cross Ministries
47-jordanelle-blocks.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Jordanelle-Blocks-Signed.pdf	Jordanelle Blocks
48-lawhq.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-LawHQ_.pdf	LawHQ
49-lindenberg-law-group.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/09/Termination-Order-Lindenberg-Law-Group-9.9.24.pdf	Lindenberg Law Group
50-melendez-legal.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Melendez-Signed.pdf	Melendez Legal
51-mina-legal-services.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/12/Termination-Order-Mina-Legal-Services-signed.pdf	Mina Legal Services
52-motion-law.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/03/Termination-Order-Motion-Law.pdf	Motion Law
53-mountain-west-legal-protective.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-Mountain-West-Legal-Protective-signed.pdf	Mountain West Legal Protective
54-off-the-record.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/03/Termination-Order-Off-the-Record.pdf	Off the Record
